<<<<<<< HEAD
Compound,Date,Negative,Neutral,Positive,Text,Tweets_Ago,Username
0.1779,Sun Jun 10 16:54:46 +0000 2018,0.642,0.16,0.198,"Rafael Nadal wins 11th French Open title, beating Dominic Thiem in 3 sets https://t.co/jAh9oMSDep https://t.co/AWWC9e2z4t",95,@CBSNews
-0.3182,Sun Jun 10 16:40:07 +0000 2018,0.905,0.095,0.0,"MOOSE MAYHEM: When a baby moose got loose on this Alaska highway, several people got out of their cars to try and c… https://t.co/iwou64tPid",96,@CBSNews
-0.2182,Sun Jun 10 16:27:56 +0000 2018,0.824,0.129,0.048,"""The fact of the matter is that I believe the North Koreans were not prepared to be serious under Kim Jong"": Susan… https://t.co/OrGTQod0p9",97,@CBSNews
-0.5256,Sun Jun 10 16:19:48 +0000 2018,0.855,0.145,0.0,"Susan Rice said that the U.S now finds itself in a ""very dangerous moment"" as President Trump appears to be further… https://t.co/ZGetB9Fu8i",98,@CBSNews
0.0,Sun Jun 10 16:10:29 +0000 2018,1.0,0.0,0.0,"North Korea summit must be more than ""one-and-done"" negotiation between Trump and Kim Jong Un, Susan Rice says on F… https://t.co/qsxFeDg2Tn",99,@CBSNews
0.631,Sun Jun 10 16:00:09 +0000 2018,0.795,0.0,0.205,"You’ve heard about the caravan of migrants hoping to enter the U.S., but you’ve never seen their story like this. S… https://t.co/d1JUOvi4BA",100,@CBSNews
=======
Compound,Date,Negative,Neutral,Positive,Text,Tweets_Ago,Username
0.0,Wed Jun 06 17:49:26 +0000 2018,1.0,0.0,0.0,".@newtgingrich: ""It's a traffic jam [@TheDemocrats] created."" #OutnumberedOT https://t.co/h1UrQ0vBaG",1,@FoxNews
-0.8176,Wed Jun 06 17:45:15 +0000 2018,0.615,0.385,0.0,Woman pleads guilty to making up rape allegations against two college football players https://t.co/tNyBNuwGvI,2,@FoxNews
0.0,Wed Jun 06 17:34:05 +0000 2018,1.0,0.0,0.0,Rainbow spotted in crater of Hawaii's Kilauea volcano https://t.co/PE9rSHJX1s,3,@FoxNews
0.0772,Wed Jun 06 17:31:36 +0000 2018,0.92,0.0,0.08,Moments ago @KimKardashian tweeted out about President @realDonaldTrump commuting the life sentence for Alice Marie… https://t.co/l403p01bMp,4,@FoxNews
0.25,Wed Jun 06 17:29:38 +0000 2018,0.875,0.0,0.125,"Ex-Dem IT aide Imran Awan poised for plea deal, after months of mysterious delays https://t.co/E7biBroQjy",5,@FoxNews
0.0,Wed Jun 06 17:16:20 +0000 2018,1.0,0.0,0.0,".@mattgaetz: ""Andrew McCabe was leaking to the @WSJ about the nature of the @HillaryClinton investigation trying to… https://t.co/WxPr4vYQL8",6,@FoxNews
0.0,Wed Jun 06 17:12:02 +0000 2018,1.0,0.0,0.0,"""They put everything on the line for us, and when they come home, we must do everything that we can possibly do for… https://t.co/gf9YD4VVMI",7,@FoxNews
0.0,Wed Jun 06 17:05:55 +0000 2018,1.0,0.0,0.0,House Democratic leaders hold a news conference https://t.co/c2z9oGBVlg,8,@FoxNews
-0.5859,Wed Jun 06 17:05:00 +0000 2018,0.798,0.202,0.0,"""No one who defends our country in uniform should have to fight for their lives when they come back.""

WATCH:… https://t.co/JL8WsrdLKe",9,@FoxNews
0.0,Wed Jun 06 17:00:01 +0000 2018,1.0,0.0,0.0,".@newtgingrich: ""65% of Californians say that the state's too expensive in terms of cost of living."" #Outnumbered https://t.co/oINfMOvVnX",10,@FoxNews
0.0772,Wed Jun 06 16:51:28 +0000 2018,0.915,0.0,0.085,BREAKING NEWS: @POTUS commutes sentence of woman serving drug-related life term after @KimKardashian meeting… https://t.co/xqg80RbprU,11,@FoxNews
0.0,Wed Jun 06 16:49:26 +0000 2018,1.0,0.0,0.0,MOMENTS AGO: President @realDonaldTrump signs V.A. Mission Act of 2018. https://t.co/tQuOhawuzK,12,@FoxNews
0.0772,Wed Jun 06 16:47:22 +0000 2018,0.92,0.0,0.08,Breaking News: @POTUS commutes sentence of woman serving drug-related life term after Kim Kardashian meeting https://t.co/asGF4W6mHH,13,@FoxNews
0.0,Wed Jun 06 16:43:15 +0000 2018,1.0,0.0,0.0,".@POTUS: ""They put everything on the line for us, and when they come home, we must do everything that we can possib… https://t.co/OBw00Gbpc1",14,@FoxNews
0.0,Wed Jun 06 16:40:36 +0000 2018,1.0,0.0,0.0,".@POTUS: ""For 30, 40 years they've been trying to get this done and they haven't been able to and we got it done."" https://t.co/efUH84dlFr",15,@FoxNews
0.3612,Wed Jun 06 16:38:26 +0000 2018,0.872,0.0,0.128,".@POTUS: ""As a candidate for president, I promised to make reforming the VA one of my absolute highest priorities,… https://t.co/ZW2ZXhwyWp",16,@FoxNews
-0.5859,Wed Jun 06 16:36:40 +0000 2018,0.798,0.202,0.0,".@POTUS: ""No one who defends our country in uniform should have to fight for their lives when they come back."" https://t.co/KWz2sCbAe9",17,@FoxNews
0.0,Wed Jun 06 16:32:56 +0000 2018,1.0,0.0,0.0,".@POTUS: ""We got $1.6 billion - we've already started the wall on the Southern border."" https://t.co/Eeo35SgcEN",18,@FoxNews
0.0,Wed Jun 06 16:31:29 +0000 2018,1.0,0.0,0.0,".@POTUS: ""We just got $700 billion for our military."" https://t.co/tmFkcPrTZK",19,@FoxNews
0.743,Wed Jun 06 16:30:21 +0000 2018,0.69,0.0,0.31,".@POTUS to veterans: ""You fulfilled your duty to our nation with tremendous loyalty and courage."" https://t.co/N8REK1s1k0",20,@FoxNews
0.0,Wed Jun 06 17:49:26 +0000 2018,1.0,0.0,0.0,".@newtgingrich: ""It's a traffic jam [@TheDemocrats] created."" #OutnumberedOT https://t.co/h1UrQ0vBaG",21,@FoxNews
-0.8176,Wed Jun 06 17:45:15 +0000 2018,0.615,0.385,0.0,Woman pleads guilty to making up rape allegations against two college football players https://t.co/tNyBNuwGvI,22,@FoxNews
0.0,Wed Jun 06 17:34:05 +0000 2018,1.0,0.0,0.0,Rainbow spotted in crater of Hawaii's Kilauea volcano https://t.co/PE9rSHJX1s,23,@FoxNews
0.0772,Wed Jun 06 17:31:36 +0000 2018,0.92,0.0,0.08,Moments ago @KimKardashian tweeted out about President @realDonaldTrump commuting the life sentence for Alice Marie… https://t.co/l403p01bMp,24,@FoxNews
0.25,Wed Jun 06 17:29:38 +0000 2018,0.875,0.0,0.125,"Ex-Dem IT aide Imran Awan poised for plea deal, after months of mysterious delays https://t.co/E7biBroQjy",25,@FoxNews
0.0,Wed Jun 06 17:16:20 +0000 2018,1.0,0.0,0.0,".@mattgaetz: ""Andrew McCabe was leaking to the @WSJ about the nature of the @HillaryClinton investigation trying to… https://t.co/WxPr4vYQL8",26,@FoxNews
0.0,Wed Jun 06 17:12:02 +0000 2018,1.0,0.0,0.0,"""They put everything on the line for us, and when they come home, we must do everything that we can possibly do for… https://t.co/gf9YD4VVMI",27,@FoxNews
0.0,Wed Jun 06 17:05:55 +0000 2018,1.0,0.0,0.0,House Democratic leaders hold a news conference https://t.co/c2z9oGBVlg,28,@FoxNews
-0.5859,Wed Jun 06 17:05:00 +0000 2018,0.798,0.202,0.0,"""No one who defends our country in uniform should have to fight for their lives when they come back.""

WATCH:… https://t.co/JL8WsrdLKe",29,@FoxNews
0.0,Wed Jun 06 17:00:01 +0000 2018,1.0,0.0,0.0,".@newtgingrich: ""65% of Californians say that the state's too expensive in terms of cost of living."" #Outnumbered https://t.co/oINfMOvVnX",30,@FoxNews
0.0772,Wed Jun 06 16:51:28 +0000 2018,0.915,0.0,0.085,BREAKING NEWS: @POTUS commutes sentence of woman serving drug-related life term after @KimKardashian meeting… https://t.co/xqg80RbprU,31,@FoxNews
0.0,Wed Jun 06 16:49:26 +0000 2018,1.0,0.0,0.0,MOMENTS AGO: President @realDonaldTrump signs V.A. Mission Act of 2018. https://t.co/tQuOhawuzK,32,@FoxNews
0.0772,Wed Jun 06 16:47:22 +0000 2018,0.92,0.0,0.08,Breaking News: @POTUS commutes sentence of woman serving drug-related life term after Kim Kardashian meeting https://t.co/asGF4W6mHH,33,@FoxNews
0.0,Wed Jun 06 16:43:15 +0000 2018,1.0,0.0,0.0,".@POTUS: ""They put everything on the line for us, and when they come home, we must do everything that we can possib… https://t.co/OBw00Gbpc1",34,@FoxNews
0.0,Wed Jun 06 16:40:36 +0000 2018,1.0,0.0,0.0,".@POTUS: ""For 30, 40 years they've been trying to get this done and they haven't been able to and we got it done."" https://t.co/efUH84dlFr",35,@FoxNews
0.3612,Wed Jun 06 16:38:26 +0000 2018,0.872,0.0,0.128,".@POTUS: ""As a candidate for president, I promised to make reforming the VA one of my absolute highest priorities,… https://t.co/ZW2ZXhwyWp",36,@FoxNews
-0.5859,Wed Jun 06 16:36:40 +0000 2018,0.798,0.202,0.0,".@POTUS: ""No one who defends our country in uniform should have to fight for their lives when they come back."" https://t.co/KWz2sCbAe9",37,@FoxNews
0.0,Wed Jun 06 16:32:56 +0000 2018,1.0,0.0,0.0,".@POTUS: ""We got $1.6 billion - we've already started the wall on the Southern border."" https://t.co/Eeo35SgcEN",38,@FoxNews
0.0,Wed Jun 06 16:31:29 +0000 2018,1.0,0.0,0.0,".@POTUS: ""We just got $700 billion for our military."" https://t.co/tmFkcPrTZK",39,@FoxNews
0.743,Wed Jun 06 16:30:21 +0000 2018,0.69,0.0,0.31,".@POTUS to veterans: ""You fulfilled your duty to our nation with tremendous loyalty and courage."" https://t.co/N8REK1s1k0",40,@FoxNews
0.0,Wed Jun 06 17:49:26 +0000 2018,1.0,0.0,0.0,".@newtgingrich: ""It's a traffic jam [@TheDemocrats] created."" #OutnumberedOT https://t.co/h1UrQ0vBaG",41,@FoxNews
-0.8176,Wed Jun 06 17:45:15 +0000 2018,0.615,0.385,0.0,Woman pleads guilty to making up rape allegations against two college football players https://t.co/tNyBNuwGvI,42,@FoxNews
0.0,Wed Jun 06 17:34:05 +0000 2018,1.0,0.0,0.0,Rainbow spotted in crater of Hawaii's Kilauea volcano https://t.co/PE9rSHJX1s,43,@FoxNews
0.0772,Wed Jun 06 17:31:36 +0000 2018,0.92,0.0,0.08,Moments ago @KimKardashian tweeted out about President @realDonaldTrump commuting the life sentence for Alice Marie… https://t.co/l403p01bMp,44,@FoxNews
0.25,Wed Jun 06 17:29:38 +0000 2018,0.875,0.0,0.125,"Ex-Dem IT aide Imran Awan poised for plea deal, after months of mysterious delays https://t.co/E7biBroQjy",45,@FoxNews
0.0,Wed Jun 06 17:16:20 +0000 2018,1.0,0.0,0.0,".@mattgaetz: ""Andrew McCabe was leaking to the @WSJ about the nature of the @HillaryClinton investigation trying to… https://t.co/WxPr4vYQL8",46,@FoxNews
0.0,Wed Jun 06 17:12:02 +0000 2018,1.0,0.0,0.0,"""They put everything on the line for us, and when they come home, we must do everything that we can possibly do for… https://t.co/gf9YD4VVMI",47,@FoxNews
0.0,Wed Jun 06 17:05:55 +0000 2018,1.0,0.0,0.0,House Democratic leaders hold a news conference https://t.co/c2z9oGBVlg,48,@FoxNews
-0.5859,Wed Jun 06 17:05:00 +0000 2018,0.798,0.202,0.0,"""No one who defends our country in uniform should have to fight for their lives when they come back.""

WATCH:… https://t.co/JL8WsrdLKe",49,@FoxNews
0.0,Wed Jun 06 17:00:01 +0000 2018,1.0,0.0,0.0,".@newtgingrich: ""65% of Californians say that the state's too expensive in terms of cost of living."" #Outnumbered https://t.co/oINfMOvVnX",50,@FoxNews
0.0772,Wed Jun 06 16:51:28 +0000 2018,0.915,0.0,0.085,BREAKING NEWS: @POTUS commutes sentence of woman serving drug-related life term after @KimKardashian meeting… https://t.co/xqg80RbprU,51,@FoxNews
0.0,Wed Jun 06 16:49:26 +0000 2018,1.0,0.0,0.0,MOMENTS AGO: President @realDonaldTrump signs V.A. Mission Act of 2018. https://t.co/tQuOhawuzK,52,@FoxNews
0.0772,Wed Jun 06 16:47:22 +0000 2018,0.92,0.0,0.08,Breaking News: @POTUS commutes sentence of woman serving drug-related life term after Kim Kardashian meeting https://t.co/asGF4W6mHH,53,@FoxNews
0.0,Wed Jun 06 16:43:15 +0000 2018,1.0,0.0,0.0,".@POTUS: ""They put everything on the line for us, and when they come home, we must do everything that we can possib… https://t.co/OBw00Gbpc1",54,@FoxNews
0.0,Wed Jun 06 16:40:36 +0000 2018,1.0,0.0,0.0,".@POTUS: ""For 30, 40 years they've been trying to get this done and they haven't been able to and we got it done."" https://t.co/efUH84dlFr",55,@FoxNews
0.3612,Wed Jun 06 16:38:26 +0000 2018,0.872,0.0,0.128,".@POTUS: ""As a candidate for president, I promised to make reforming the VA one of my absolute highest priorities,… https://t.co/ZW2ZXhwyWp",56,@FoxNews
-0.5859,Wed Jun 06 16:36:40 +0000 2018,0.798,0.202,0.0,".@POTUS: ""No one who defends our country in uniform should have to fight for their lives when they come back."" https://t.co/KWz2sCbAe9",57,@FoxNews
0.0,Wed Jun 06 16:32:56 +0000 2018,1.0,0.0,0.0,".@POTUS: ""We got $1.6 billion - we've already started the wall on the Southern border."" https://t.co/Eeo35SgcEN",58,@FoxNews
0.0,Wed Jun 06 16:31:29 +0000 2018,1.0,0.0,0.0,".@POTUS: ""We just got $700 billion for our military."" https://t.co/tmFkcPrTZK",59,@FoxNews
0.743,Wed Jun 06 16:30:21 +0000 2018,0.69,0.0,0.31,".@POTUS to veterans: ""You fulfilled your duty to our nation with tremendous loyalty and courage."" https://t.co/N8REK1s1k0",60,@FoxNews
0.0,Wed Jun 06 17:49:26 +0000 2018,1.0,0.0,0.0,".@newtgingrich: ""It's a traffic jam [@TheDemocrats] created."" #OutnumberedOT https://t.co/h1UrQ0vBaG",61,@FoxNews
-0.8176,Wed Jun 06 17:45:15 +0000 2018,0.615,0.385,0.0,Woman pleads guilty to making up rape allegations against two college football players https://t.co/tNyBNuwGvI,62,@FoxNews
0.0,Wed Jun 06 17:34:05 +0000 2018,1.0,0.0,0.0,Rainbow spotted in crater of Hawaii's Kilauea volcano https://t.co/PE9rSHJX1s,63,@FoxNews
0.0772,Wed Jun 06 17:31:36 +0000 2018,0.92,0.0,0.08,Moments ago @KimKardashian tweeted out about President @realDonaldTrump commuting the life sentence for Alice Marie… https://t.co/l403p01bMp,64,@FoxNews
0.25,Wed Jun 06 17:29:38 +0000 2018,0.875,0.0,0.125,"Ex-Dem IT aide Imran Awan poised for plea deal, after months of mysterious delays https://t.co/E7biBroQjy",65,@FoxNews
0.0,Wed Jun 06 17:16:20 +0000 2018,1.0,0.0,0.0,".@mattgaetz: ""Andrew McCabe was leaking to the @WSJ about the nature of the @HillaryClinton investigation trying to… https://t.co/WxPr4vYQL8",66,@FoxNews
0.0,Wed Jun 06 17:12:02 +0000 2018,1.0,0.0,0.0,"""They put everything on the line for us, and when they come home, we must do everything that we can possibly do for… https://t.co/gf9YD4VVMI",67,@FoxNews
0.0,Wed Jun 06 17:05:55 +0000 2018,1.0,0.0,0.0,House Democratic leaders hold a news conference https://t.co/c2z9oGBVlg,68,@FoxNews
-0.5859,Wed Jun 06 17:05:00 +0000 2018,0.798,0.202,0.0,"""No one who defends our country in uniform should have to fight for their lives when they come back.""

WATCH:… https://t.co/JL8WsrdLKe",69,@FoxNews
0.0,Wed Jun 06 17:00:01 +0000 2018,1.0,0.0,0.0,".@newtgingrich: ""65% of Californians say that the state's too expensive in terms of cost of living."" #Outnumbered https://t.co/oINfMOvVnX",70,@FoxNews
0.0772,Wed Jun 06 16:51:28 +0000 2018,0.915,0.0,0.085,BREAKING NEWS: @POTUS commutes sentence of woman serving drug-related life term after @KimKardashian meeting… https://t.co/xqg80RbprU,71,@FoxNews
0.0,Wed Jun 06 16:49:26 +0000 2018,1.0,0.0,0.0,MOMENTS AGO: President @realDonaldTrump signs V.A. Mission Act of 2018. https://t.co/tQuOhawuzK,72,@FoxNews
0.0772,Wed Jun 06 16:47:22 +0000 2018,0.92,0.0,0.08,Breaking News: @POTUS commutes sentence of woman serving drug-related life term after Kim Kardashian meeting https://t.co/asGF4W6mHH,73,@FoxNews
0.0,Wed Jun 06 16:43:15 +0000 2018,1.0,0.0,0.0,".@POTUS: ""They put everything on the line for us, and when they come home, we must do everything that we can possib… https://t.co/OBw00Gbpc1",74,@FoxNews
0.0,Wed Jun 06 16:40:36 +0000 2018,1.0,0.0,0.0,".@POTUS: ""For 30, 40 years they've been trying to get this done and they haven't been able to and we got it done."" https://t.co/efUH84dlFr",75,@FoxNews
0.3612,Wed Jun 06 16:38:26 +0000 2018,0.872,0.0,0.128,".@POTUS: ""As a candidate for president, I promised to make reforming the VA one of my absolute highest priorities,… https://t.co/ZW2ZXhwyWp",76,@FoxNews
-0.5859,Wed Jun 06 16:36:40 +0000 2018,0.798,0.202,0.0,".@POTUS: ""No one who defends our country in uniform should have to fight for their lives when they come back."" https://t.co/KWz2sCbAe9",77,@FoxNews
0.0,Wed Jun 06 16:32:56 +0000 2018,1.0,0.0,0.0,".@POTUS: ""We got $1.6 billion - we've already started the wall on the Southern border."" https://t.co/Eeo35SgcEN",78,@FoxNews
0.0,Wed Jun 06 16:31:29 +0000 2018,1.0,0.0,0.0,".@POTUS: ""We just got $700 billion for our military."" https://t.co/tmFkcPrTZK",79,@FoxNews
0.743,Wed Jun 06 16:30:21 +0000 2018,0.69,0.0,0.31,".@POTUS to veterans: ""You fulfilled your duty to our nation with tremendous loyalty and courage."" https://t.co/N8REK1s1k0",80,@FoxNews
0.0,Wed Jun 06 17:49:26 +0000 2018,1.0,0.0,0.0,".@newtgingrich: ""It's a traffic jam [@TheDemocrats] created."" #OutnumberedOT https://t.co/h1UrQ0vBaG",81,@FoxNews
-0.8176,Wed Jun 06 17:45:15 +0000 2018,0.615,0.385,0.0,Woman pleads guilty to making up rape allegations against two college football players https://t.co/tNyBNuwGvI,82,@FoxNews
0.0,Wed Jun 06 17:34:05 +0000 2018,1.0,0.0,0.0,Rainbow spotted in crater of Hawaii's Kilauea volcano https://t.co/PE9rSHJX1s,83,@FoxNews
0.0772,Wed Jun 06 17:31:36 +0000 2018,0.92,0.0,0.08,Moments ago @KimKardashian tweeted out about President @realDonaldTrump commuting the life sentence for Alice Marie… https://t.co/l403p01bMp,84,@FoxNews
0.25,Wed Jun 06 17:29:38 +0000 2018,0.875,0.0,0.125,"Ex-Dem IT aide Imran Awan poised for plea deal, after months of mysterious delays https://t.co/E7biBroQjy",85,@FoxNews
0.0,Wed Jun 06 17:16:20 +0000 2018,1.0,0.0,0.0,".@mattgaetz: ""Andrew McCabe was leaking to the @WSJ about the nature of the @HillaryClinton investigation trying to… https://t.co/WxPr4vYQL8",86,@FoxNews
0.0,Wed Jun 06 17:12:02 +0000 2018,1.0,0.0,0.0,"""They put everything on the line for us, and when they come home, we must do everything that we can possibly do for… https://t.co/gf9YD4VVMI",87,@FoxNews
0.0,Wed Jun 06 17:05:55 +0000 2018,1.0,0.0,0.0,House Democratic leaders hold a news conference https://t.co/c2z9oGBVlg,88,@FoxNews
-0.5859,Wed Jun 06 17:05:00 +0000 2018,0.798,0.202,0.0,"""No one who defends our country in uniform should have to fight for their lives when they come back.""

WATCH:… https://t.co/JL8WsrdLKe",89,@FoxNews
0.0,Wed Jun 06 17:00:01 +0000 2018,1.0,0.0,0.0,".@newtgingrich: ""65% of Californians say that the state's too expensive in terms of cost of living."" #Outnumbered https://t.co/oINfMOvVnX",90,@FoxNews
0.0772,Wed Jun 06 16:51:28 +0000 2018,0.915,0.0,0.085,BREAKING NEWS: @POTUS commutes sentence of woman serving drug-related life term after @KimKardashian meeting… https://t.co/xqg80RbprU,91,@FoxNews
0.0,Wed Jun 06 16:49:26 +0000 2018,1.0,0.0,0.0,MOMENTS AGO: President @realDonaldTrump signs V.A. Mission Act of 2018. https://t.co/tQuOhawuzK,92,@FoxNews
0.0772,Wed Jun 06 16:47:22 +0000 2018,0.92,0.0,0.08,Breaking News: @POTUS commutes sentence of woman serving drug-related life term after Kim Kardashian meeting https://t.co/asGF4W6mHH,93,@FoxNews
0.0,Wed Jun 06 16:43:15 +0000 2018,1.0,0.0,0.0,".@POTUS: ""They put everything on the line for us, and when they come home, we must do everything that we can possib… https://t.co/OBw00Gbpc1",94,@FoxNews
0.0,Wed Jun 06 16:40:36 +0000 2018,1.0,0.0,0.0,".@POTUS: ""For 30, 40 years they've been trying to get this done and they haven't been able to and we got it done."" https://t.co/efUH84dlFr",95,@FoxNews
0.3612,Wed Jun 06 16:38:26 +0000 2018,0.872,0.0,0.128,".@POTUS: ""As a candidate for president, I promised to make reforming the VA one of my absolute highest priorities,… https://t.co/ZW2ZXhwyWp",96,@FoxNews
-0.5859,Wed Jun 06 16:36:40 +0000 2018,0.798,0.202,0.0,".@POTUS: ""No one who defends our country in uniform should have to fight for their lives when they come back."" https://t.co/KWz2sCbAe9",97,@FoxNews
0.0,Wed Jun 06 16:32:56 +0000 2018,1.0,0.0,0.0,".@POTUS: ""We got $1.6 billion - we've already started the wall on the Southern border."" https://t.co/Eeo35SgcEN",98,@FoxNews
0.0,Wed Jun 06 16:31:29 +0000 2018,1.0,0.0,0.0,".@POTUS: ""We just got $700 billion for our military."" https://t.co/tmFkcPrTZK",99,@FoxNews
0.743,Wed Jun 06 16:30:21 +0000 2018,0.69,0.0,0.31,".@POTUS to veterans: ""You fulfilled your duty to our nation with tremendous loyalty and courage."" https://t.co/N8REK1s1k0",100,@FoxNews
0.765,Wed Jun 06 17:55:30 +0000 2018,0.742,0.0,0.258,"""We thank our great Singaporean hosts for their hospitality."" Donald Trump and Kim Jong Un will meet at the Capella… https://t.co/Ab0EaE5Cta",1,@CNN
0.0,Wed Jun 06 17:45:00 +0000 2018,1.0,0.0,0.0,"From delivery to aviation, Dubai is at the forefront of drone experimentation. Here's a look at what the future hol… https://t.co/q0S1qZFoHp",2,@CNN
-0.1027,Wed Jun 06 17:43:50 +0000 2018,0.931,0.069,0.0,It's hard to remember a time when Starbucks wasn't on every big-city corner and in every US suburban shopping cente… https://t.co/S6lkccOuee,3,@CNN
-0.7906,Wed Jun 06 17:33:39 +0000 2018,0.72,0.28,0.0,British troops burned down the White House during the War of 1812. Historians note the British attack on Washington… https://t.co/da00rwRB2h,4,@CNN
0.34,Wed Jun 06 17:33:06 +0000 2018,0.882,0.0,0.118,"According to the sources, Trudeau pressed Trump on how he could justify the tariffs as a ""national security"" issue.… https://t.co/EMylmUA4zt",5,@CNN
-0.0772,Wed Jun 06 17:31:49 +0000 2018,0.942,0.058,0.0,President Trump and Canadian PM Justin Trudeau had a testy phone call on May 25 over new tariffs imposed by the Tru… https://t.co/UEms7CfP5A,6,@CNN
0.0,Wed Jun 06 17:22:41 +0000 2018,1.0,0.0,0.0,Republican megadonor and billionaire David Koch is stepping down from his role at Koch Industries and other organiz… https://t.co/C93TWf7bxd,7,@CNN
-0.5106,Wed Jun 06 17:21:51 +0000 2018,0.829,0.171,0.0,Democratic Sen. Dick Durbin says healthcare will be the party's priority for the canceled August recess… https://t.co/9qBZTGZYJI,8,@CNN
-0.7269,Wed Jun 06 17:10:09 +0000 2018,0.681,0.319,0.0,The maker of Jack Daniel's is worried about the impact of a trade war https://t.co/5rEiKMiNBa https://t.co/GfJJhgIgBC,9,@CNN
0.4404,Wed Jun 06 17:00:03 +0000 2018,0.854,0.0,0.146,"Things are a little bit cheaper at Costco, Target, Walmart and Kroger this year thanks to a price war… https://t.co/gGc6Ozrila",10,@CNN
0.0,Wed Jun 06 16:55:36 +0000 2018,1.0,0.0,0.0,"Steamboat Geyser in Yellowstone National Park is erupting unusually frequently. On June 4, the geyser had its eight… https://t.co/FJhiVtbNli",11,@CNN
-0.4019,Wed Jun 06 16:53:29 +0000 2018,0.828,0.172,0.0,Paul Manafort could be in big trouble | By Paul Callan via @CNNOpinion https://t.co/MPcnd4ekF8 https://t.co/SrLVt49ThU,12,@CNN
0.0,Wed Jun 06 16:40:09 +0000 2018,1.0,0.0,0.0,"How much longer can the US economy keep rolling? Tune in to @CNNMoney's ""Markets Now at 12:45pm ET to see economist… https://t.co/F4oK0zR21U",13,@CNN
0.0772,Wed Jun 06 16:39:16 +0000 2018,0.929,0.0,0.071,BREAKING: President Trump has commuted the life sentence of Alice Johnson following a White House meeting last week… https://t.co/xLGQ5vvNtQ,14,@CNN
0.3384,Wed Jun 06 16:28:36 +0000 2018,0.888,0.0,0.112,"President Trump says first lady Melania Trump is ""doing really well"" ahead of her first public appearance since May… https://t.co/mNU2ij342U",15,@CNN
-0.4939,Wed Jun 06 16:23:13 +0000 2018,0.862,0.138,0.0,"""It wasn't my finest hour."" Former President Bill Clinton says he was mad at himself over his recent comments about… https://t.co/ueAskMrNnD",16,@CNN
0.4404,Wed Jun 06 16:11:08 +0000 2018,0.822,0.0,0.178,The European Union's top court ruled that same-sex couples are entitled to the same residency rights as other marri… https://t.co/jExDrtdNck,17,@CNN
0.2023,Wed Jun 06 16:03:05 +0000 2018,0.921,0.0,0.079,"House Speaker Paul Ryan says he agrees with Republican Rep. Trey Gowdy that the FBI did ""exactly"" what it was suppo… https://t.co/Xhbm8kD6MT",18,@CNN
0.0,Wed Jun 06 15:57:00 +0000 2018,1.0,0.0,0.0,Watch these homes being built using a 3D printer https://t.co/igaBP4BFwG https://t.co/sGcYS89MDO,19,@CNN
0.0,Wed Jun 06 15:49:22 +0000 2018,1.0,0.0,0.0,World Cup 2022: Meet the Qataris making the most of soccer's showcase https://t.co/DjpV7FTj0j https://t.co/stmyDwlsrb,20,@CNN
0.765,Wed Jun 06 17:55:30 +0000 2018,0.742,0.0,0.258,"""We thank our great Singaporean hosts for their hospitality."" Donald Trump and Kim Jong Un will meet at the Capella… https://t.co/Ab0EaE5Cta",21,@CNN
0.0,Wed Jun 06 17:45:00 +0000 2018,1.0,0.0,0.0,"From delivery to aviation, Dubai is at the forefront of drone experimentation. Here's a look at what the future hol… https://t.co/q0S1qZFoHp",22,@CNN
-0.1027,Wed Jun 06 17:43:50 +0000 2018,0.931,0.069,0.0,It's hard to remember a time when Starbucks wasn't on every big-city corner and in every US suburban shopping cente… https://t.co/S6lkccOuee,23,@CNN
-0.7906,Wed Jun 06 17:33:39 +0000 2018,0.72,0.28,0.0,British troops burned down the White House during the War of 1812. Historians note the British attack on Washington… https://t.co/da00rwRB2h,24,@CNN
0.34,Wed Jun 06 17:33:06 +0000 2018,0.882,0.0,0.118,"According to the sources, Trudeau pressed Trump on how he could justify the tariffs as a ""national security"" issue.… https://t.co/EMylmUA4zt",25,@CNN
-0.0772,Wed Jun 06 17:31:49 +0000 2018,0.942,0.058,0.0,President Trump and Canadian PM Justin Trudeau had a testy phone call on May 25 over new tariffs imposed by the Tru… https://t.co/UEms7CfP5A,26,@CNN
0.0,Wed Jun 06 17:22:41 +0000 2018,1.0,0.0,0.0,Republican megadonor and billionaire David Koch is stepping down from his role at Koch Industries and other organiz… https://t.co/C93TWf7bxd,27,@CNN
-0.5106,Wed Jun 06 17:21:51 +0000 2018,0.829,0.171,0.0,Democratic Sen. Dick Durbin says healthcare will be the party's priority for the canceled August recess… https://t.co/9qBZTGZYJI,28,@CNN
-0.7269,Wed Jun 06 17:10:09 +0000 2018,0.681,0.319,0.0,The maker of Jack Daniel's is worried about the impact of a trade war https://t.co/5rEiKMiNBa https://t.co/GfJJhgIgBC,29,@CNN
0.4404,Wed Jun 06 17:00:03 +0000 2018,0.854,0.0,0.146,"Things are a little bit cheaper at Costco, Target, Walmart and Kroger this year thanks to a price war… https://t.co/gGc6Ozrila",30,@CNN
0.0,Wed Jun 06 16:55:36 +0000 2018,1.0,0.0,0.0,"Steamboat Geyser in Yellowstone National Park is erupting unusually frequently. On June 4, the geyser had its eight… https://t.co/FJhiVtbNli",31,@CNN
-0.4019,Wed Jun 06 16:53:29 +0000 2018,0.828,0.172,0.0,Paul Manafort could be in big trouble | By Paul Callan via @CNNOpinion https://t.co/MPcnd4ekF8 https://t.co/SrLVt49ThU,32,@CNN
